CUI,STR
C1272355,Deficiency of vitamin K2
C1272516,Small cell glioblastoma
C1272557,Disorder of vitamin C
C1272558,Disorder of vitamin B
C1272559,Disorder of vitamin D
C1272560,Deficiency of vitamin K1
C1272561,Disorder of vitamin K
C1272562,Vitamin B6 deficiency (non anemic)
C1272615,Carcinoma of ribs and/or sternum and/or clavicle
C1272616,Malignant neoplasm of upper limb bones and scapula
C1272620,AFC - acanthoma fissuratum cutis
C1272657,Secondary angle-closure glaucoma - synechial
C1272677,Benign mixed epithelial and stromal tumor of kidney
C1272678,Pseudo-polycythemia
C1272757,Vascular disorder of pelvis
C1272765,Minimal deviation adenocarcinoma of endocervical type
C1272765,Adenoma malignum
C1272766,Follicular bronchiolitis
C1273017,Tibial adamantinoma
C1273017,Tibial adamantinoma morphology
C1273059,Transient epileptic amnesia
C1273070,Left ventricular diastolic dysfunction
C1273092,Unable to comprehend concept of danger
C1273093,Difficulty comprehending concept of danger
C1273099,Benign paraproteinemia
C1273344,Hyperosmolar non-ketotic state due to type 2 diabetes mellitus
C1273353,Sebaceous gland hypertrophy
C1273426,Leakage of chyle
C1273466,Exacerbation of osteoarthritis
C1273670,"Carcinoma with pleomorphic, sarcomatoid or sarcomatous elements"
C1273671,Carcinoma of salivary gland type
C1273758,Pupillary block
C1273976,First myocardial infarction
C1274008,Infection due to Penicillium marneffei
C1274101,Hemolytic glaucoma
C1274103,Tumor-induced osteomalacia
C1274146,Pruritic scalp dermatosis
C1274147,Dermatosis of external ear
C1274148,Dermatitis of external ear
C1274149,Chondrodermatitis nodularis
C1274150,Dermatosis of eyelid
C1274151,Dermatosis of lip
C1274152,Infective dermatosis of lip
C1274153,Dermatosis of tongue
C1274155,Infective dermatosis of male genitalia
C1274156,Infective dermatosis of female genitalia
C1274157,Inflammatory dermatosis of female genitalia
C1274158,Non-infective ulcerative disorder of female genitalia
C1274159,Infective dermatosis of perianal skin
C1274160,Dermatosis of lower limb due to disorder of leg veins
C1274161,Lupus erythematosus overlap syndrome
C1274162,Occupational scleroderma
C1274163,Cutaneous complication of systemic sclerosis
C1274164,Lichen sclerosus of male genitalia
C1274166,Immunobullous disease
C1274167,IgA pemphigus
C1274168,Pemphigus paraneoplastica
C1274169,Systemic amyloidosis affecting skin
C1274170,Amyloidosis limited to skin
C1274171,Mucinosis affecting skin
C1274172,Focal primary mucinosis of skin
C1274173,Secondary catabolic mucinosis of skin
C1274174,Xanthoma due to abnormality of lipid metabolism
C1274175,Primary chylomicronemia
C1274176,Skin changes due to malnutrition
C1274177,Hair changes due to malnutrition
C1274178,Calcinosis associated with widespread tissue injury
C1274179,Metastatic calcification of skin
C1274181,Habit tic affecting skin
C1274182,Nail dystrophy due to habit tic
C1274183,Habit tic affecting hair
C1274184,Factitious skin disease
C1274184,Dermatitis factitia
C1274185,Artefactual skin disease
C1274186,Artefactual skin disease inflicted by others
C1274187,Dermatosis secondary to peripheral nerve disorder
C1274189,Skin damage resulting from acquired nerve disorder
C1274190,Spinal cord defect affecting skin
C1274206,Skin disorder due to phototherapy
C1274209,Skin lesion in drug addict
C1274211,Ectodermal syndrome with hair-tooth-sweating defects
C1274212,Ectodermal syndrome with hair-sweating defects
C1274221,Hereditary diffuse melanosis
C1274222,Hereditary reticulate melanosis
C1274223,Genetic syndrome with hypermelanosis
C1274225,Inherited pseudoxanthoma elasticum
C1274227,DNA instability syndrome
C1274228,Chylomicronemia syndrome
C1274229,Genetic disorder of lipid storage
C1274232,B-lymphocyte immunodeficiency
C1274233,T-lymphocyte immunodeficiency
C1274234,Heritable disorder of neutrophil production
C1274235,Heritable disorder of neutrophil function
C1274236,Neonatal dermatosis
C1274237,Neonatal viral infection of skin
C1274238,Neonatal pyogenic infection of skin
C1274239,Neonatal fungal infection of skin
C1274242,Neonatal disorder of subcutaneous fat
C1274243,Physiological anomaly of neonatal skin
C1274244,Dermatosis in childhood
C1274245,Dermatosis of menopause
C1274246,Circumscribed hypermelanosis
C1274248,Circumscribed hypomelanosis
C1274250,Congenital malformation of cutaneous lymphatics
C1274252,Squamous neoplasm of surface epithelium
C1274254,Carcinoma-in-situ of oral mucosa
C1274254,Carcinoma in situ of buccal mucosa
C1274256,Squamous cell carcinoma of anogenital area
C1274257,Squamous cell carcinoma of nail apparatus
C1274258,Basal cell carcinoma of nose
C1274259,Basal cell carcinoma of skin of lip
C1274260,Basal cell carcinoma of ear
C1274261,"Miliaria crystallina, infantile"
C1274262,"Miliaria rubra, infantile"
C1274263,Infantile miliaria profunda
C1274264,Infantile miliaria
C1274265,Retro-auricular cysts (hidradenitis)
C1274266,Axillary hidradenitis suppurativa
C1274267,Anogenital hidradenitis suppurativa
C1274268,Vulval hidradenitis suppurativa
C1274271,Telangiectasia due to prolonged vasodilatation
C1274272,Telangiectasia due to venous hypertension
C1274273,Sunburst telangiectases
C1274274,Telangiectasia of nailfolds
C1274275,"Spider telangiectasis, secondary"
C1274277,Spider telangiectasis in association with liver disease
C1274279,Acquired angiokeratoma
C1274280,Solitary papular angiokeratoma
C1274281,Angiokeratoma of vulva
C1274282,Acral pseudolymphomatous angiokeratoma of children (APACHE)
C1274284,Physiological cutis marmorata
C1274285,Neonatal cutis marmorata
C1274287,Clothing purpura
C1274288,Purpura due to increased intravascular pressure
C1274289,Purpura due to prolonged vomiting and/or coughing
C1274290,Neonatal purpura fulminans (homozygous protein C deficiency)
C1274291,Cryofibrinogenemic purpura
C1274292,Dysproteinemic purpura
C1274293,Normocomplementemic urticarial vasculitis
C1274295,Human herpes virus 8 infection of skin
C1274296,Bowel-bypass syndrome
C1274297,Febrile ulceronecrotic pityriasis lichenoides acuta
C1274298,Arteritic leg ulcer
C1274299,Wet gangrene of foot due to diabetes mellitus
C1274300,Systemic lupus erythematosus-associated antiphospholipid syndrome
C1274301,Benign neoplasm of lymph vessels
C1274302,Reactive vascular proliferation of skin
C1274303,Reactive fibrous tissue proliferation
C1274304,Malignant neoplasm of subcutaneous fibrous tissue
C1274305,Benign fibrohistiocytic neoplasm of skin
C1274306,Neoplasm of nerve sheath origin
C1274307,Benign neoplasm of nerve sheath origin
C1274308,T-cell leukemic infiltration of skin
C1274309,Primary cutaneous large T-cell lymphoma
C1274310,Primary cutaneous B-cell lymphoma
C1274311,Hodgkin's disease affecting skin
C1274312,Non-Langerhans cell histiocytic dermatosis
C1274313,Vaccination site vaccinia
C1274314,Primary herpes simplex keratoconjunctivitis
C1274315,Primary herpes simplex infection of lips
C1274316,Primary perianal herpes simplex infection
C1274317,Primary herpes simplex infection of genitalia
C1274318,Primary herpes simplex infection of penis
C1274319,Primary herpetic vulvovaginitis
C1274320,Recurrent herpes simplex infection of eye
C1274321,Recurrent herpes simplex labialis
C1274322,Recurrent herpes simplex infection of perianal area
C1274323,Recurrent genital herpes simplex
C1274324,Recurrent herpes simplex of penis
C1274325,Recurrent herpetic vulvovaginitis
C1274326,Herpes zoster involving cervical dermatome
C1274327,Herpes zoster involving sacral dermatome
C1274329,Roseola infantum (HHV 7)
C1274330,Viral wart on finger
C1274331,Viral wart on nose
C1274332,Viral wart on lip
C1274333,Beard wart
C1274334,Viral wart on toe
C1274336,Epidermoid plantar cysts due to HPV 60
C1274338,Crimean fever
C1274339,Papular purpuric gloves and socks syndrome
C1274340,Pseudomonas aeruginosa folliculitis
C1274341,Propionibacterium acnes folliculitis
C1274342,Acne necrotica varioliformis of scalp margin
C1274343,Recurrent erysipelas
C1274344,Erysipelas of lower limb
C1274345,Gram-negative bacterial cellulitis
C1274346,Haemophilus cellulitis
C1274347,Bacterial cellulitis
C1274348,Acute bacterial paronychia
C1274349,Neonatal bacterial paronychia
C1274350,Pseudomonas aeruginosa infection of nail
C1274351,Gram-negative infection of toe web
C1274352,Streptococcal cellulitis of external ear
C1274353,Acute pyococcal bartholinitis
C1274354,Pseudomonal botryomycosis
C1274355,Streptococcal infection of skin
C1274356,Bacterial pyoderma
C1274357,Syphilitic chancre of penis
C1274358,Syphilitic chancre of vulva
C1274359,Syphilitic chancre of oral mucous membranes
C1274360,Syphilitic balanitis
C1274361,Condylomata lata of perianal skin
C1274362,Condylomata lata of penis
C1274363,Condylomata lata of vulva
C1274364,Late secondary syphilis
C1274365,Nail dystrophy due to secondary syphilis
C1274366,Nodular syphilide
C1274367,Oral mucous membrane lesion due to late syphilis
C1274370,Vulval chancroid
C1274371,Gonococcal bacteremia-induced pustular vasculitis
C1274372,Leptospirosis with cutaneous involvement
C1274374,Salmonella infection with skin involvement
C1274375,Typhoid exanthem
C1274376,Paratyphoid exanthem
C1274377,Vibrio vulnificus infection
C1274378,Neonatal staphylococcal scalded skin syndrome
C1274379,Erythema nodosum caused by Bacteria
C1274380,Erythema nodosum caused by Genus Streptococcus
C1274381,Erythema nodosum caused by Yersinia enterocolitica
C1274382,Erythema multiforme due to mycoplasma infection
C1274383,Skin involvement in bacterial endocarditis
C1274384,BCG-induced lupus vulgaris
C1274385,BCG-induced scrofuloderma
C1274386,BCG-induced tuberculide
C1274387,Mycobacterium kansasii infection of skin
C1274388,Mycobacterium scrofulaceum infection of skin
C1274389,Mycobacterium szulgai infection of skin
C1274390,Mycobacterium avium intracellulare infection of skin
C1274391,Mycobacterium fortuitum infection of skin
C1274392,Mycobacteroides chelonae infection of skin
C1274393,Mycobacterium gordonae infection of skin
C1274394,Mycobacterium malmoense infection of skin
C1274395,Mycobacteroides abscessus infection of skin
C1274396,Actinomycetoma due to Nocardia brasiliensis
C1274397,Actinomycetoma due to Nocardia asteroides
C1274398,Actinomycetoma due to Nocardia otitidis caviarum
C1274400,Primary cutaneous nocardiosis
C1274401,Disseminated nocardiosis infection affecting skin
C1274403,Disseminated actinomycosis infection affecting skin
C1274404,Actinomycetoma due to Actinomadura madurae
C1274405,Actinomycetoma due to Actinomadura pelletieri
C1274406,Actinomycetoma due to Streptomyces somaliensis
C1274407,Chronic pseudomembranous oral candidiasis
C1274408,Chronic plaque-like oral candidiasis
C1274409,Chronic nodular oral candidiasis
C1274410,Nodular candidiasis of diaper area
C1274411,Neonatal systemic candidiasis
C1274412,Chronic acquired mucocutaneous candidiasis
C1274413,Tinea capitis due to Microsporum canis
C1274414,Tinea capitis due to Microsporum canis variant distortum
C1274415,Tinea capitis due to Microsporum gallinae
C1274416,Tinea capitis due to Trichophyton gourvilii
C1274417,Tinea capitis due to Microsporum equinum
C1274418,Tinea capitis due to Microsporum ferrugineum
C1274419,Tinea capitis due to Nannizzia fulva
C1274420,Tinea capitis due to Trichophyton megninii
C1274421,Tinea capitis due to Microsporum gypseum
C1274422,Tinea capitis due to Trichophyton mentagrophytes
C1274423,Tinea capitis due to Microsporum nanum
C1274424,Tinea capitis due to Trichophyton erinacei
C1274426,Tinea capitis due to Trichophyton rubrum
C1274427,Tinea capitis due to Trichophyton soudanense
C1274428,Tinea capitis due to Trichophyton verrucosum
C1274429,Tinea capitis due to Trichophyton violaceum
C1274430,Tinea capitis due to Trichophyton yaoundei
C1274432,Tinea capitis due to Microsporum audouinii
C1274433,Tinea corporis due to Epidermophyton floccosum
C1274434,Tinea corporis due to Microsporum audouinii
C1274435,Tinea corporis due to Microsporum canis variant canis
C1274436,Tinea corporis due to Trichophyton equinum variant equinum
C1274437,Tinea corporis due to Microsporum distortum
C1274438,Tinea corporis due to Trichophyton gallinae
C1274439,Tinea corporis due to Microsporum equinum
C1274440,Tinea corporis due to Microsporum ferrugineum
C1274441,Tinea corporis due to Trichophyton megninii
C1274442,Tinea corporis due to Nannizzia fulva
C1274443,Tinea corporis due to Microsporum gypseum
C1274445,Tinea corporis due to Microsporum nanum
C1274446,Tinea corporis due to Trichophyton mentagrophytes variant erinacei
C1274447,Tinea corporis due to Trichophyton mentagrophytes
C1274448,Tinea corporis due to Trichophyton persicolor
C1274449,Tinea corporis due to Trichophyton rubrum
C1274450,Tinea corporis due to Trichophyton schoenleinii
C1274451,Tinea corporis due to Trichophyton simii
C1274452,Tinea corporis due to Trichophyton soudanense
C1274453,Tinea corporis due to Trichophyton tonsurans variant tonsurans
C1274454,Tinea corporis due to Trichophyton verrucosum
C1274455,Tinea corporis due to Trichophyton violaceum
C1274456,Tinea corporis due to Trichophyton yaoundei
C1274458,Tinea manuum due to Epidermophyton floccosum
C1274459,Tinea manuum due to Trichophyton mentagrophytes variant interdigitale
C1274460,Tinea manuum due to Trichophyton mentagrophytes variant erinacei
C1274461,Tinea manuum due to Trichophyton rubrum
C1274462,Tinea manuum due to Microsporum vanbreuseghemii
C1274463,Tinea manuum due to Trichophyton violaceum
C1274464,Tinea cruris due to Trichophyton gallinae
C1274465,Tinea pedis due to Trichophyton interdigitale
C1274466,Tinea pedis due to Trichophyton rubrum
C1274467,Tinea pedis due to Trichophyton violaceum
C1274470,Onychomycosis of toenails
C1274471,Onychomycosis due to Trichophyton interdigitale
C1274472,Onychomycosis due to Trichophyton schoenleinii
C1274473,Onychomycosis due to Trichophyton soudanense
C1274474,Onychomycosis due to Trichophyton tonsurans
C1274475,Onychomycosis due to Trichophyton violaceum
C1274476,Tinea due to Microsporum audouinii
C1274477,Tinea due to Trichophyton equinum
C1274478,Tinea due to Microsporum canis variant canis
C1274479,Tinea due to Microsporum canis variant distortum
C1274480,Tinea due to Microsporum equinum
C1274481,Tinea due to Microsporum ferrugineum
C1274482,Tinea due to Trichophyton mentagrophytes variant interdigitale
C1274483,Tinea due to Trichophyton megninii
C1274484,Tinea due to Nannizzia fulva
C1274485,Tinea due to Microsporum gypseum
C1274487,Tinea due to Microsporum nanum
C1274488,Tinea due to Trichophyton mentagrophytes variant erinacei
C1274489,Tinea caused by Trichophyton persicolor
C1274490,Tinea due to Trichophyton mentagrophytes
C1274491,Tinea due to Trichophyton simii
C1274492,Tinea due to Microsporum vanbreuseghemii
C1274493,Tinea due to Trichophyton soudanense
C1274494,Tinea due to Trichophyton tonsurans
C1274495,Tinea due to Trichophyton verrucosum
C1274496,Tinea due to Trichophyton violaceum
C1274497,Tinea due to Trichophyton yaoundei
C1274499,Tinea nigra due to Phaeoannellomyces werneckii
C1274500,Tinea nigra due to Stenella araguata
C1274501,Trichosporon beigelii infection (piedra)
C1274502,Onychomycosis caused by Acremonium
C1274503,Onychomycosis caused by Aspergillus
C1274504,Onychomycosis due to Botryodiplodia theobromae
C1274505,Onychomycosis due to Curvularia lunata
C1274506,Onychomycosis due to Fusarium
C1274507,Onychomycosis caused by Neoscytalidium dimidiatum
C1274510,Onychomycosis due to Scopulariopsis brevicaulis
C1274511,Onychomycosis due to Scytalidium hyalinum
C1274512,Onychomycosis due to Onychocola canadensis
C1274513,Distal and lateral subungual onychomycosis
C1274514,Proximal subungual onychomycosis
C1274516,Total dystrophic onychomycosis
C1274517,Onycholysis due to fungal infection of nail
C1274518,Endonyx onychomycosis
C1274519,Disseminated cutaneous coccidioidomycosis
C1274520,Fixed cutaneous sporotrichosis
C1274521,Mycetoma due to Acremonium
C1274522,Mycetoma due to Curvularia lunata
C1274523,Mycetoma due to dermatophyte
C1274524,Mycetoma due to Exophiala jeanselmei
C1274525,Mycetoma due to Fusarium
C1274526,Mycetoma due to Leptosphaeria senegalensis
C1274527,Mycetoma due to Madurella grisea
C1274528,Mycetoma due to Madurella mycetomatis
C1274529,Mycetoma due to Neotestudina rosatii
C1274530,Mycetoma due to Pseudallescheria boydii
C1274531,Mycetoma due to Pyrenochaeta romeroi
C1274532,Disseminated cutaneous mycosis due to Penicillium
C1274533,Disseminated cutaneous mycosis due to Fusarium
C1274534,Disseminated cutaneous mycosis due to Trichosporon
C1274535,Acute papular onchodermatitis
C1274536,Chronic papular onchodermatitis
C1274537,Atrophic onchodermatitis
C1274538,Filarial abscess
C1274539,Urticaria due to strongyloidiasis
C1274540,Echinococcosis of skin
C1274541,Cysticercosis of skin
C1274542,Sparganosis of skin
C1274543,Dermatosis due to tapeworm
C1274544,Leishmania brasiliensis complex cutaneous leishmaniasis
C1274545,African trypanosomiasis affecting skin
C1274546,American trypanosomiasis affecting skin
C1274549,Phthiriasis of eyelashes
C1274550,Disseminated phthiriasis
C1274552,Caterpillar dermatitis
C1274553,Dermatosis due to moth and/or butterfly
C1274554,Bullous insect bite reaction
C1274556,Spider mite dermatitis
C1274557,Demodectic blepharitis
C1274559,Dermatosis due to Echinoidea
C1274560,Dermatosis due to Coelenterata
C1274561,Fire coral dermatitis
C1274562,Allergic contact dermatitis caused by Bryozoa
C1274563,Sponge dermatitis
C1274565,Dermatoses due to Crustacea
C1274567,Skin reaction to noxious and/or venomous marine invertebrate
C1274571,Protothecosis of skin
C1274587,Reaction to thorn and/or spine in skin
C1274588,"Reaction to metallic ring, stud and/or infibulata in skin"
C1274590,Erythrocyanosis with nodules
C1274593,Sun-induced wrinkles
C1274594,Lichenoid actinic keratosis
C1274595,Acantholytic actinic keratosis
C1274596,Atrophic actinic keratosis
C1274597,Proliferative actinic keratosis
C1274598,Multiple actinic keratoses
C1274599,Multiple actinic keratoses involving scalp
C1274600,Multiple actinic keratoses involving face
C1274601,Multiple actinic keratoses involving forehead and temples
C1274602,Multiple actinic keratoses involving hands
C1274603,Multiple actinic keratoses involving legs
C1274604,Diffuse actinic hyperkeratosis
C1274606,Familial actinic prurigo of lip
C1274607,Papular form erythema multiforme
C1274608,Vesicobullous form erythema multiforme
C1274609,Erythema multiforme due to malignancy
C1274612,Sweet's disease following infection
C1274640,Buccal pigmentation due to Addison's disease
C1274641,Hypermelanosis due to Cushing syndrome
C1274642,Hypermelanosis due to acromegaly
C1274643,Hypermelanosis due to hyperthyroidism
C1274644,Hypermelanosis of the eyelids due to hyperthyroidism
C1274646,Ochronosis due to hydroquinone
C1274647,Pigmentation due to exogenous pigment
C1274648,Segmental vitiligo
C1274649,Trichrome vitiligo
C1274650,Post-infective hypomelanosis
C1274651,Hypopigmented scar
C1274652,Hypomelanosis surrounding malignant melanoma
C1274653,Alezzandrini syndrome
C1274656,Pigmented skin lesion of uncertain nature
C1274657,Polyonychia
C1274669,Subungual epidermoid inclusions
C1274670,Nail dystrophy associated with bullous dermatoses
C1274672,Beau's lines secondary to systemic illness
C1274673,Leukonychia secondary to systemic disease
C1274674,Red half-moon nail in congestive heart failure
C1274675,Clubbing of nails associated with systemic disorder
C1274676,Nail dystrophy resulting from poisonous chemical
C1274677,Drug-induced onycholysis
C1274678,Drug-induced leukonychia
C1274679,Nail dystrophy due to cytotoxic therapy
C1274680,Acquired striate leukonychia
C1274681,Acquired koilonychia
C1274684,Acquired nail deformity
C1274685,Elkonyxis
C1274686,Idiopathic atrophy of nail in childhood
C1274687,Hypertrichosis in malnutrition
C1274688,Hypertrichosis in anorexia nervosa
C1274689,Hypertrichosis in hyperthyroidism
C1274690,Hypertrichosis in hypothyroidism
C1274691,Hypertrichosis in porphyria
C1274692,Constitutionally-determined racial hirsutism
C1274693,Androgenetic alopecia in association with polycystic ovaries
C1274694,Postmenopausal androgenetic alopecia
C1274695,Circumscribed alopecia areata of scalp
C1274696,Circumscribed alopecia areata of eyelashes/eyebrows
C1274697,Circumscribed alopecia areata of beard area
C1274698,Circumscribed alopecia areata of limbs
C1274699,Circumscribed alopecia areata of trunk
C1274700,Postmenopausal frontal fibrosing alopecia
C1274702,Telogen effluvium of the newborn
C1274703,Chronic telogen effluvium
C1274704,Short anagen syndrome
C1274705,Massage alopecia
C1274706,Marginal alopecia
C1274707,Brush roller alopecia
C1274708,Central centrifugal cicatricial alopecia
C1274709,Brush alopecia
C1274710,Chronic diffuse alopecia
C1274711,Trichoschisis
C1274712,Poliosis in Vogt-Koyanagi-Harada syndrome
C1274715,Hair shaft damage from permanent waving
C1274716,Hair shaft damage from shampooing
C1274717,Superficial acne vulgaris
C1274718,Superficial inflammatory acne vulgaris
C1274719,Superficial mixed comedonal and inflammatory acne vulgaris
C1274720,Acne fulminans with erythema nodosum
C1274721,Pitch acne
C1274723,Hydration acne
C1274724,Polyporous comedone
C1274725,"Multiple ""sandpaper"" type comedones"
C1274726,Macrocomedone (acne)
C1274727,Acne nodule
C1274728,Atrophic acne scar
C1274729,Ice-pick acne scar
C1274733,Photoaggravated rosacea
C1274734,Extrafacial rosacea
C1274735,Perioral dermatitis with periocular dermatitis
C1274740,Apocrine miliaria of axilla
C1274741,Apocrine miliaria of vulva
C1274742,Emotional sweating affecting palms and soles
C1274743,Palmoplantar hyperhidrosis
C1274744,Asymmetrical hyperhidrosis
C1274745,Hyperhidrosis due to causalgia
C1274746,Compensatory hyperhidrosis
C1274747,Rusting syndrome from hyperhidrosis
C1274748,Craniofacial hyperhidrosis
C1274749,Postmenopausal flushing
C1274750,Weightlifter's striae
C1274751,Stellate pseudoscar in senile purpura
C1274752,Follicular atrophoderma with palmoplantar hyperkeratosis
C1274753,Linear atrophoderma of Moulin
C1274755,Post-inflammatory cutis laxa
C1274756,Cutis laxa following urticaria-angioedema
C1274757,Cutis laxa following hypersensitivity reaction
C1274758,Cutis laxa with complement deficiency
C1274759,Acquired pseudoxanthoma elasticum
C1274760,Acquired reactive perforating dermatosis
C1274761,Verrucous perforating collagenoma
C1274762,Acquired perforating pseudoxanthoma elasticum
C1274763,Poikiloderma due to cold injury
C1274764,Poikiloderma due to heat of infra-red radiation
C1274765,Poikiloderma due to photodynamic agent
C1274766,Poikiloderma due to connective tissue disease
C1274767,Solitary infantile myofibromatosis
C1274768,Aggressive systemic infantile myofibromatosis
C1274769,Ear-lobe keloid
C1274771,Panniculitis with complement deficiency
C1274772,Panniculitis due to alpha-1 anti-trypsin deficiency
C1274773,Panniculitis secondary to pancreatic disease
C1274774,Calcifying panniculitis due to hyperparathyroidism
C1274775,Calcifying panniculitis due to hyperparathyroidism in renal disease
C1274776,Panniculitis due to cholesterol emboli
C1274777,Neonatal cold panniculitis
C1274778,Nodular panniculitis
C1274780,Idiopathic sclerosing lipogranuloma
C1274781,Pityriasis steatoides
C1274786,Chondrodermatitis nodularis of antihelix
C1274787,Chondrodermatitis nodularis of tragus
C1274788,Atopic keratoconjunctivitis
C1274789,Ligneous conjunctivitis
C1274790,Cicatrizing conjunctivitis
C1274791,Conjunctivitis due to reactive arthritis triad
C1274793,Lip ulcer due to caliber persistent artery
C1274794,Erythema multiforme-induced ulceration of lips
C1274796,Traumatic oral ulceration
C1274801,Melanotic macule of oral mucosa (reactive type)
C1274802,Oral hair
C1274803,Denervation atrophy of tongue
C1274804,Folate deficiency glossitis
C1274805,Vitamin B12 deficiency glossitis
C1274806,Iron deficiency glossitis
C1274807,Traumatic ulcerative granuloma of tongue with stromal eosinophilia
C1274808,Gingival pigmentation
C1274809,Congestive non-allergic rhinitis
C1274810,Hyperkeratosis of nipple
C1274813,Traumatic balanitis
C1274814,Irritant balanitis
C1274815,Acute infective balanitis
C1274816,Chronic infective balanitis
C1274817,Micaceous and keratotic balanitis
C1274818,Lichen sclerosus-associated penile intraepithelial neoplasia
C1274819,Aphthosis of glans penis
C1274820,Penile sclerosing lipogranuloma
C1274822,Vulval intraepithelial neoplasia with lichen sclerosus
C1274823,Vulval intraepithelial neoplasia with squamous epithelial hyperplasia
C1274824,Seminal vulvitis
C1274825,Salivary vulvitis
C1274826,Sutton's ulcer (vulval aphthosis)
C1274827,Vulval aphthosis
C1274830,Bowenoid papulosis of anus
C1274831,Anal intraepithelial neoplasia (AIN III)
C1274832,Acute systemic lupus erythematosus
C1274833,Fulminating systemic lupus erythematosus
C1274834,Systemic lupus erythematosus of childhood
C1274835,"Subacute cutaneous lupus erythematosus, annular/polycyclic type"
C1274836,"Subacute cutaneous lupus erythematosus, papulosquamous type"
C1274838,Hypertrophic type discoid lupus erythematosus
C1274839,Rosaceous type discoid lupus erythematosus
C1274840,Discoid lupus erythematosus of mucous membranes
C1274841,Discoid lupus erythematosus of oral mucosa
C1274842,Discoid lupus erythematosus of genital mucous membranes
C1274843,Discoid lupus erythematosus of scalp
C1274844,Discoid lupus erythematosus of face
C1274845,Discoid lupus erythematosus of lip
C1274846,Discoid lupus erythematosus of hands
C1274847,Discoid lupus erythematosus of foot
C1274848,Disseminated discoid lupus erythematosus
C1274849,Lupus erythematosus-associated anetoderma
C1274850,Subcutaneous nodule associated with lupus erythematosus
C1274851,Lupus erythematosus-associated calcinosis
C1274852,Lupus erythematosus-associated papulonodular mucinosis
C1274853,Lupus erythematosus-associated hypermelanosis
C1274854,Lupus erythematosus-associated nailfold telangiectasia
C1274856,Lupus erythematosus-associated urticarial vasculitis
C1274857,Lupus erythematosus-associated poikiloderma
C1274858,Lupus erythematosus-associated nail dystrophy
C1274859,Scleroderma-associated calcinosis
C1274860,Scleroderma-associated hypermelanosis
C1274861,Scleroderma-associated telangiectasia
C1274862,Scleroderma-associated nailfold telangiectasia
C1274863,Scleroderma-associated poikiloderma
C1274864,Scleroderma-associated nail dystrophy
C1274865,Scleroderma-like secondary cutaneous sclerosis
C1274867,Premenstrual exacerbation of dermatosis
C1274868,Pregnancy-related exacerbation of dermatosis
C1274869,Erosive pustular dermatosis
C1274870,Erosive pustular dermatosis of lower extremity
C1274875,Zosteriform lentiginosis
C1274876,Fibrolipomatous hamartoma of nerve
C1274877,Fat-storing hamartoma of dermal dendrocytes
C1274880,Segmental lymphangiomatosis
C1274889,Constricting band of extremity
C1274897,"Lichen sclerosus of penis, childhood form"
C1274898,"Vulval lichen sclerosus, childhood form"
C1274899,Anogenital lichen sclerosus
C1274900,Oral lichen sclerosus
C1274903,Postmenopausal pruritus
C1274904,Pruritus due to systemic disorder
C1274905,Nail dystrophy due to nail picking
C1274914,Addiction to sun exposure
C1274915,Addiction to sunbed use
C1274917,Cutaneous Munchausen syndrome by proxy
C1274918,Ritual hand washing
C1274920,Phobic fear of skin cancer
C1274921,Psychogenic formication
C1274922,Pinocchio syndrome
C1274928,Trigeminal trophic syndrome
C1274929,Neurotrophic damage to skin
C1274932,Serum sickness due to drug
C1274933,Drug-induced Stevens-Johnson syndrome
C1274934,Non-pigmenting fixed drug eruption
C1274936,Purpura due to drug-induced coagulation abnormality
C1274937,Purpura due to drug-induced capillary damage
C1274938,Drug-induced lymphocytic vasculitis
C1274940,Drug-induced flushing
C1274941,Nitrite-induced flushing
C1274942,Erythroderma caused by vancomycin
C1274943,Drug-induced panniculitis
C1274944,B-cell pseudolymphoma due to drug
C1274945,T-cell pseudolymphoma due to drug
C1274946,Halogen eruption
C1274947,Drug-induced solar urticaria
C1274948,Drug-induced pellagra
C1274949,Non-melanin pigmentation due to drug
C1274950,Pigmentation (non-melanin) due to topically applied medicament
C1274951,Drug-induced bullous pemphigoid
C1274952,Drug-induced pemphigus vulgaris
C1274953,Drug-induced pemphigus foliaceus
C1274955,Drug-induced linear IgA disease
C1274956,Eosinophilic fasciitis due to L-tryptophan
C1274957,Drug-induced dermatomyositis
C1274958,Stomatitis due to cytotoxic therapy
C1274959,Cutaneous inflammation due to cytotoxic therapy
C1274960,Acral erythema due to cytotoxic therapy
C1274961,Syringosquamous metaplasia due to cytotoxic therapy
C1274962,Neutrophilic eccrine hidradenitis due to cytotoxic therapy
C1274963,Pseudoscleroderma due to cytotoxic therapy
C1274964,Cutaneous ulceration due to cytotoxic therapy
C1274965,Methotrexate skin ulceration
C1274966,Radiation recall reaction due to cytotoxic therapy
C1274967,Ultraviolet recall reaction due to cytotoxic therapy
C1274968,Cutaneous atrophy due to corticosteroids
C1274969,Corticosteroid-induced striae
C1274970,Striae due to topical corticosteroid
C1274971,Striae due to systemic corticosteroid
C1274972,Stellate pseudoscar due to corticosteroid
C1274973,Corticosteroid-induced telangiectasia
C1274974,Lipoatrophy due to injected corticosteroid
C1274975,Atrophy of skin due to topical corticosteroid
C1274976,Atrophy of skin due to systemic corticosteroid
C1274977,Perioral dermatitis due to corticosteroid
C1274978,Rosacea due to topical corticosteroid
C1274979,Panniculitis caused by corticosteroid therapy
